simulation,n,T_mse,S_mse,X_mse
simA,5000,32.834619438662344,16.26669118135073,33.050757247267
simA,10000,14.278842630493498,16.07062267176033,14.276667642454155
simA,20000,9.276701382544998,16.003829173869644,9.298773170481912
simA,100000,6.412333916940044,15.915852513468193,6.410930931063422
simA,300000,6.0310576350975404,15.90611545695687,6.031813348318678
simB,5000,5037.272561630716,2755.660406518056,5037.36739137456
simB,10000,5035.481399345415,2755.491824612921,5035.48085094674
simB,20000,5034.712946405885,2755.27756874075,5034.712649598561
simB,100000,5035.270296851688,2755.1542887251726,5035.270264000623
simB,300000,5034.6824867944515,2755.138126764224,5034.681177615262
simC,5000,0.8026467001199749,1.1027559084032894,0.8035581528088269
simC,10000,0.7713671942780604,1.1029961991785602,0.7716148789141923
simC,20000,0.7541739314886379,1.102506119547212,0.7541966955178072
simC,100000,0.7458866854974986,1.103127253357566,0.7458981301831114
simC,300000,0.7437476479817426,1.1030120501986824,0.7437505628051372
simD,5000,0.019216282364051155,0.0008246745818670104,0.021447650276456214
simD,10000,0.008847176936648458,0.0004293219003192852,0.010061593194455534
simD,20000,0.0042032278993466695,0.00018899618470630784,0.004751691192474961
simD,100000,0.0008985372924899446,3.349586638861537e-05,0.0010041121656686215
simD,300000,0.00031754225683883707,1.4021155269343625e-05,0.0003487244206402786
simE,5000,4.262823825765678,5.770036400086189,4.267963711276551
simE,10000,4.233132803883932,5.767357014173431,4.235770540079252
simE,20000,4.219339299962898,5.766450755794832,4.220883404211928
simE,100000,4.209201538485227,5.7660149463350985,4.209491223424537
simE,300000,4.207480572486402,5.76590346173492,4.207582219505486
simF,5000,5.8720550805053415,7.370822342609257,5.875421050800658
simF,10000,5.830283819752224,7.35851119393878,5.831708197901151
simF,20000,5.815263873925329,7.359338789587425,5.814923952486494
simF,100000,5.794869880816994,7.352026450810976,5.794211942321391
simF,300000,5.799955614617869,7.35811935509044,5.80010423545829
