simulation,trial,n,T_mse,S_mse,X_mse
simA,0,5000,28.570954795563637,15.936791706207272,28.95855999943078
simA,0,10000,13.970433147344233,16.343845579693507,13.81842210931721
simA,0,20000,8.190652207570654,15.90118762360015,8.168132297643753
simA,0,100000,6.5715482398833345,15.901064403218236,6.528748966937588
simA,0,300000,6.4410607296538664,15.898212036032525,6.44383993978129
simA,1,5000,28.706763261155455,16.52678211811429,28.90743076594161
simA,1,10000,13.788220440755543,16.392549285491253,13.638107051557371
simA,1,20000,11.0549414306663,16.58966655468857,11.181060915741963
simA,1,100000,7.878656831078153,15.903193954896475,7.879431698752455
simA,1,300000,6.17387933827108,15.912236130337606,6.1694393100896185
simA,2,5000,40.540832935795684,15.887391318549541,40.60211721260446
simA,2,10000,10.388849656359085,15.928684417920248,10.534082338450306
simA,2,20000,8.899568108325253,16.00342674438706,8.945014044459922
simA,2,100000,6.132871124222011,15.887527882702004,6.135362707599786
simA,2,300000,6.02142538753638,15.888404559156879,6.023586375247866
simA,3,5000,30.024939224003237,18.026168595107066,29.094028945658906
simA,3,10000,13.813263243914225,16.190949674780395,13.61478309725549
simA,3,20000,12.296766239837243,15.958121734597855,12.228628758826233
simA,3,100000,6.03036288798175,15.906563073789773,6.0394284046393985
simA,3,300000,5.915689495440656,15.907479100475136,5.914926668982473
simA,4,5000,36.647806222598895,16.030990883613484,34.89446627369323
simA,4,10000,22.41866381452532,16.040762822900685,21.720696003022738
simA,4,20000,13.770140603934857,15.95483296176193,13.526438571722855
simA,4,100000,6.483793632684244,15.91268748925569,6.482927585757261
simA,4,300000,5.916970335961969,15.898291487644432,5.9178558403097385
simA,5,5000,30.477026084799398,16.897648648216183,31.33187547318432
simA,5,10000,18.837839607580502,16.53335120689722,18.75301654379247
simA,5,20000,8.87762114610812,15.95912106712108,8.899216836981017
simA,5,100000,6.297409760870128,15.91738273847741,6.303453816069996
simA,5,300000,5.928807439830743,15.92515989365311,5.928719416985366
simA,6,5000,34.94025718255683,16.12013304150966,35.2166304580771
simA,6,10000,17.387050809932592,15.88911245619486,17.78393385435814
simA,6,20000,8.725116821434582,15.925253213734269,8.715758012550063
simA,6,100000,6.221202965098535,15.948663342240192,6.223122357003512
simA,6,300000,5.957232063234463,15.88364016287428,5.961103281100571
simA,7,5000,50.52965965371373,16.394139327855164,53.770270950441684
simA,7,10000,9.895199060487286,16.079745972997657,9.699819975550707
simA,7,20000,7.365004272118708,16.189167864792736,7.39052462355497
