simulation,trial,n,T_mse,S_mse,X_mse
simA,0,5000,18.071704512461725,15.936791706207272,18.174600996027976
simA,0,10000,11.351096499964623,16.343845579693507,11.170390188532897
simA,0,20000,8.36176538099266,15.90118762360015,8.516099705278899
simA,0,100000,6.69257867979675,15.901064403218252,6.530859383893686
simA,0,300000,6.41948484420366,15.898212036032525,6.356384993407491
simA,1,5000,23.18202839521863,16.52678211811429,22.92353142921634
simA,1,10000,14.322559074322903,16.39254928549125,17.18981144302049
simA,1,20000,11.146926091335093,16.58966655468857,10.641526931808002
simA,1,100000,7.957743495485532,15.903193954896475,8.252077021713017
simA,1,300000,6.189040196761804,15.912236130337606,6.245615829254737
simA,2,5000,43.730527611081264,15.887391318549236,42.59478331443598
simA,2,10000,10.008774502708205,15.928684417920248,9.792838345693161
simA,2,20000,9.097817302231384,16.00342674438706,9.39280505775297
simA,2,100000,6.09383145685447,15.887527882702004,6.169723898047601
simA,2,300000,6.031943146878354,15.888404559156877,6.06220821879571
simA,3,5000,28.023786424369266,18.026168595107066,27.99409215527644
simA,3,10000,12.780818762174087,16.190949674780395,12.05206024294269
simA,3,20000,11.356042078503764,15.95812173459786,11.028993257790713
simA,3,100000,6.0939226016767964,15.906563073789773,6.05431970252594
simA,3,300000,5.928987786880962,15.907479100475136,5.994912842696289
simA,4,5000,32.032061773821184,16.030990883613484,27.871721618759125
simA,4,10000,22.799663487431015,16.040762822900685,22.287161870596186
simA,4,20000,14.062812161543139,15.95483296176193,13.604705127224067
simA,4,100000,6.439232849170842,15.91268748925569,6.2801495579122415
simA,4,300000,5.915002860194686,15.898291487644432,5.957936244577606
simA,5,5000,31.725498731507063,16.89764864821546,33.475928293068854
simA,5,10000,19.680209982155176,16.5333512068972,21.467526990420357
simA,5,20000,9.669113590494261,15.95912106712108,10.078289518034113
simA,5,100000,6.296512849525963,15.91738273847741,6.312311188378831
simA,5,300000,5.9249432171615775,15.92515989365311,5.965106241395835
simA,6,5000,38.11158569266928,16.12013304150966,39.64877657944948
simA,6,10000,16.610100128116365,15.88911245619486,17.886336991362196
simA,6,20000,7.85740469194405,15.925253213734269,8.1189937946299
simA,6,100000,6.179017710487929,15.948663342240192,6.310361569010961
simA,6,300000,5.943759182443862,15.88364016287428,5.993552185441147
simA,7,5000,15.096750852495283,16.394139327855164,14.688619268498941
simA,7,10000,7.771976948656242,16.079745972997657,7.71309170781928
simA,7,20000,7.503742339060366,16.189167864792736,7.674960811649754
simA,7,100000,6.303880573243963,15.97597997863916,6.476263682917968
simA,7,300000,5.953448234636005,15.908471376282844,5.954832732804456
simA,8,5000,19.42952034667816,16.06461113327854,21.871799801812895
simA,8,10000,13.978221987391908,16.14901506256709,13.43433207121366
simA,8,20000,7.096809293877742,15.926547538902396,7.174857571109511
simA,8,100000,6.064094197491583,15.906776077346711,6.077845039221492
simA,8,300000,5.932660607782291,15.911168587810812,5.952912751917466
simA,9,5000,17.320294192947713,16.203271956797852,16.012913570523228
simA,9,10000,9.76912961666316,15.892792780819653,9.77811746894064
simA,9,20000,7.351873081599564,15.893079681744027,7.476502523648815
simA,9,100000,6.303861885411243,15.892581481084282,6.239914198253418
simA,9,300000,5.931122476880363,15.894903769715945,6.041324683335805
simB,0,5000,3862.1325610777753,3103.8269093596464,3862.156413462431
simB,0,10000,3858.460595876416,3103.139023899414,3858.494449778872
simB,0,20000,3857.1860478666063,3103.246145809248,3857.70744008523
simB,0,100000,3862.972733713021,3103.181048902123,3862.8576444370638
simB,0,300000,3864.4271710394823,3103.170916280318,3864.509998647327
simB,1,5000,2419.593361917998,2423.875773683973,2420.260172892075
simB,1,10000,2420.6519975679307,2423.6195047097335,2421.154931262985
simB,1,20000,2422.207219510844,2423.625173308473,2422.4410328294252
simB,1,100000,2424.6594429698625,2423.598075536044,2424.660727558434
simB,1,300000,2424.5493018608886,2423.584194641553,2424.522003825833
simB,2,5000,2556.429079886651,2703.584094237737,2556.3069462723847
simB,2,10000,2553.1910370622904,2703.681144442381,2553.434179433431
simB,2,20000,2553.9911729954065,2703.591925657645,2554.043731383446
simB,2,100000,2556.4720360687797,2703.615180727106,2556.395383018564
simB,2,300000,2555.761783017922,2703.6371866227246,2555.78590260909
simB,3,5000,5439.774417006804,1727.816246141688,5438.960019570829
simB,3,10000,5423.882869474155,1727.831224186078,5424.0074031200065
simB,3,20000,5418.909221495003,1727.6379921159744,5418.096773448406
simB,3,100000,5419.756304276791,1727.670030891272,5419.597222375487
simB,3,300000,5421.6842120676065,1727.6417592629796,5421.761082709495
simB,4,5000,7427.8662195640345,5539.535338064958,7421.301091746084
simB,4,10000,7401.829133521984,5539.293838450448,7400.631713978106
simB,4,20000,7390.306219911858,5539.232959293992,7390.083259107244
simB,4,100000,7396.254175519614,5539.346270303332,7396.770703001671
simB,4,300000,7395.372108750999,5539.2701620869375,7395.504831488984
simB,5,5000,2603.80767495503,1248.1391473785186,2604.3142907180504
simB,5,10000,2606.9061704876103,1248.179306736888,2606.574017799394
simB,5,20000,2607.3899494239845,1248.1802304465741,2607.6535803012453
simB,5,100000,2609.512806643737,1248.18287085378,2609.5804605053454
simB,5,300000,2608.336101562353,1248.1545840317413,2608.282657856978
simB,6,5000,6258.489868397238,2541.9823253217955,6257.535837591194
simB,6,10000,6246.60097165599,2541.4963017819236,6245.7941599568185
simB,6,20000,6241.915737312942,2541.6075914801672,6241.0379112403425
simB,6,100000,6238.439196247854,2541.5843442497767,6238.4978958241045
simB,6,300000,6237.3596104529515,2541.5657259847135,6237.437487120303
simB,7,5000,2993.0699884477426,2071.669510449159,2993.840035378331
simB,7,10000,2996.259220417508,2071.4896146449883,2997.458511761822
simB,7,20000,2996.393339492166,2071.529420166369,2996.1957830996384
simB,7,100000,2994.773410554654,2071.489405802072,2994.947663544379
simB,7,300000,2990.7023443493836,2071.504422180914,2990.606803602472
simB,8,5000,4172.7211397714755,1551.2663172108269,4172.826800471675
simB,8,10000,4183.019119352761,1550.364940074983,4182.701887373265
simB,8,20000,4177.745363228988,1550.3232731349358,4177.752070754371
simB,8,100000,4175.515551372838,1549.9076936894194,4175.431857928462
simB,8,300000,4176.4800401159,1549.8521967672586,4176.4650361310505
simB,9,5000,2848.465383348313,2460.595428636203,2849.031009290358
simB,9,10000,2849.2129159013953,2460.8537848969995,2849.6106934821296
simB,9,20000,2850.0825149727893,2457.50382005583,2849.944257914806
simB,9,100000,2852.5249401379283,2456.5493046090405,2852.499640018254
simB,9,300000,2854.0970207197456,2456.481533205657,2854.170154349445
simC,0,5000,0.8706885980702042,1.3475239799677337,0.873428565459109
simC,0,10000,0.8615958221238568,1.3549043044390725,0.8618507869322567
simC,0,20000,0.8523058738190019,1.3534138110790332,0.852210654178915
simC,0,100000,0.8472791361706324,1.3474004067520977,0.8472061572378974
simC,0,300000,0.8461881501379533,1.3472834809073524,0.8461643896189904
simC,1,5000,0.9067727228575747,1.1964546032370285,0.9172336325189332
simC,1,10000,0.8747678426993913,1.1963638595987922,0.8796895394674757
simC,1,20000,0.7981471526949964,1.1966289953858165,0.800435813881764
simC,1,100000,0.7872460067997756,1.197338682688554,0.7870595499464342
simC,1,300000,0.7828338334859014,1.1981560615952065,0.7828642388680791
simC,2,5000,0.9183606534528913,1.3007812860150314,0.905882409335112
simC,2,10000,0.8930053582478285,1.3061059488899402,0.9007396136355748
simC,2,20000,0.845802086997377,1.3058414195043901,0.8497277762118159
simC,2,100000,0.8247723896291642,1.3053544065900522,0.8240346510434485
simC,2,300000,0.8238149277209037,1.3055988499732223,0.8238944662140696
simC,3,5000,0.9276625321096246,1.2945282439004913,0.9211078347158134
simC,3,10000,0.897124018128615,1.2866549398185827,0.8886902837378153
simC,3,20000,0.8493177594335282,1.2840287894669244,0.8495196376606255
simC,3,100000,0.8220421185351656,1.284526393989635,0.8221842622474871
simC,3,300000,0.8193621878515442,1.2831900157651301,0.8193022327825139
simC,4,5000,0.8468090621550743,1.0366169045638065,0.8503272776869542
simC,4,10000,0.8129713676210448,1.0456154059706813,0.8189791443833132
simC,4,20000,0.7811298580815663,1.0558733109504963,0.7841177156335913
simC,4,100000,0.7617352840603551,1.0546546599486926,0.7626078908233986
simC,4,300000,0.7613385747876408,1.0522808722408659,0.7611276490482013
simC,5,5000,0.5930085487752269,0.7582724091398618,0.5929450404094984
simC,5,10000,0.576144463929388,0.7520828844562896,0.5760051123557064
simC,5,20000,0.5683966374777649,0.7515084521206822,0.5687824683794942
simC,5,100000,0.5563680593735161,0.7493802832483537,0.5561480982084978
simC,5,300000,0.5577847337160314,0.7512188199888913,0.5577275236442147
simC,6,5000,0.8407378197034766,1.301717138304761,0.8373726932496622
simC,6,10000,0.826869738774866,1.3014201901349465,0.826008377081153
simC,6,20000,0.8237489031530335,1.3016658745964798,0.8249413306619731
simC,6,100000,0.8245910022129203,1.3016855164050554,0.8243422734824855
simC,6,300000,0.8215425221400161,1.3013784787473286,0.821591285787007
simC,7,5000,0.8936048999248087,1.2893366969669164,0.9239744962690851
simC,7,10000,0.8379973840909933,1.290948942026235,0.8403844880276858
simC,7,20000,0.8385170472476302,1.2892099147698692,0.840685637535585
simC,7,100000,0.8245459064985812,1.2907992687568806,0.8244843152853273
simC,7,300000,0.8184694003241838,1.2894848936087129,0.8182954159959789
simC,8,5000,0.8291163612845283,1.192002950619738,0.8334447957913065
simC,8,10000,0.8009172095205662,1.1928520245370722,0.7997664614169117
simC,8,20000,0.8239557363399747,1.1932318509087723,0.8264037292446864
simC,8,100000,0.7826094566804725,1.1916082977489186,0.7829091592935207
simC,8,300000,0.7796865109939279,1.191683345516902,0.7797307225810814
simC,9,5000,0.7932651914862279,1.093251347078344,0.7913290821576683
simC,9,10000,0.7597425814195702,1.093447775625588,0.7613099869813089
simC,9,20000,0.7611006698016819,1.0971101533125518,0.7619158255963026
simC,9,100000,0.7532008372137554,1.1005463497630643,0.7532240556612497
simC,9,300000,0.7485171889606299,1.0984216633256287,0.748464500662463
simD,0,5000,0.017006240175829797,0.0014140876695055257,0.018154495932451782
simD,0,10000,0.0077325872714506805,5.3126162694546074e-05,0.008656389953616339
simD,0,20000,0.003967116202135133,0.0001108196171801038,0.004027274295233945
simD,0,100000,0.0010904969590026243,2.5754292127802797e-05,0.001169431950877443
simD,0,300000,0.00026530366850226634,3.8058657947197667e-06,0.00029709840921943756
simD,1,5000,0.017944757570779683,0.003600678212270315,0.01736179797628452
simD,1,10000,0.007717704347099265,0.0017377134026801948,0.00952856708367584
simD,1,20000,0.0036149476961122645,0.0007434090371575362,0.0040874475028512824
simD,1,100000,0.0006249473546183558,3.196667912672824e-05,0.0007455653992105645
simD,1,300000,0.000448525870654317,3.1905889307050343e-05,0.00045686268363683984
simD,2,5000,0.010389886363707369,2.1308638129824996e-05,0.011929682722698468
simD,2,10000,0.00752008095754591,0.00034580537390460213,0.00853515557826713
simD,2,20000,0.004240476202495216,0.00021987915800159865,0.004723958493092103
simD,2,100000,0.0011294283859143348,6.444994118595179e-07,0.0012635725327979975
simD,2,300000,0.00038726557851478683,1.4986006897199922e-05,0.00045175338229687455
simD,3,5000,0.022346230637069604,0.0003751908190778479,0.02327860152146683
simD,3,10000,0.006797151151971896,0.0002036713837987769,0.006829177191487387
simD,3,20000,0.0026548753314318604,2.6174513870103188e-05,0.0026636717342028806
simD,3,100000,0.0002468475776375038,2.8388758576631413e-06,0.0002948617856027387
simD,3,300000,0.00019972135913220835,2.345787109493251e-05,0.00022646729974610765
simD,4,5000,0.018065974457005956,0.0012307921376468443,0.015669958256884928
simD,4,10000,0.008267638746704666,0.0002296661508225566,0.008224022458872705
simD,4,20000,0.0037104055851799773,9.75292861391461e-07,0.003775781716661618
simD,4,100000,0.0004824913462729104,9.574237661614444e-07,0.00047773829686751534
simD,4,300000,0.0002646669321327699,1.8462740084608912e-09,0.00027740755930965596
simD,5,5000,0.025281148014220933,0.0002659659802272184,0.03173648712174584
simD,5,10000,0.00749376126032729,0.0004285143843391206,0.008662723865624373
simD,5,20000,0.0039879360168595945,0.0003955156742285829,0.004505753988529296
simD,5,100000,0.0007018065200711049,1.9672886354399503e-06,0.00069440367574279
simD,5,300000,0.00023068383917527964,8.329455737118729e-06,0.00030798884916266844
simD,6,5000,0.014265739662526982,6.568164250332821e-05,0.016726034523537846
simD,6,10000,0.007595421387155314,1.288295511560423e-06,0.00852697290924689
simD,6,20000,0.006794915605596089,3.444521259868673e-06,0.00721065527705347
simD,6,100000,0.0009228004586739419,2.3442658489078965e-05,0.0011855275118441983
simD,6,300000,0.00035442903745993995,8.81238837579896e-06,0.00039386694969299394
simD,7,5000,0.020702928468141427,0.0016072431907900773,0.02322829709219866
simD,7,10000,0.009772247403520286,1.5607797673383693e-05,0.009915262763184033
simD,7,20000,0.003442420651961709,4.020045850516898e-05,0.0033629136943216734
simD,7,100000,0.0010153334581489016,2.5508892398665032e-05,0.001019966553088376
simD,7,300000,0.0001949565226248322,1.138715648315219e-06,0.00021397696841947113
simD,8,5000,0.02734655398123722,0.00020306275133320456,0.026997949403828415
simD,8,10000,0.01071402656029359,1.1395571900693114e-06,0.011831694846317128
simD,8,20000,0.005636410753222777,2.0464170875434816e-06,0.0059780012783436755
simD,8,100000,0.0007291810714907823,1.3468188230158941e-05,0.0007792292178834968
simD,8,300000,0.00017841433171489533,2.5829279404189126e-05,0.0001866891052555758
simD,9,5000,0.021145683150604624,3.323928854782276e-05,0.02300515080166181
simD,9,10000,0.00808127944736632,0.0003399073368893337,0.008774591714360028
simD,9,20000,0.0033635232931047677,1.398528237217038e-05,0.0035184655692478335
simD,9,100000,0.0009727674621453548,2.7644694214832296e-05,0.0010524481348897674
simD,9,300000,0.000352624689359834,4.8377086823242505e-05,0.00040165033772365566
simE,0,5000,4.232083177132945,5.763827197631611,4.234456173590196
simE,0,10000,4.2144846348237515,5.762037097234923,4.2137195591909515
simE,0,20000,4.207282137525463,5.761041232255247,4.2076777618982435
simE,0,100000,4.201909825338004,5.76111809210827,4.202201544581743
simE,0,300000,4.200485609950454,5.761117640788076,4.20051016002225
