simulation,trial,n,T_mse,S_mse,X_mse
simA,0,5000,51.90917640783091,29.43872,16.769611010034073
simA,0,10000,52.67658609260657,29.43872,18.96342653833267
simA,0,20000,43.87197505761588,29.43872,14.531615094170384
simA,0,100000,33.27565206524198,29.43872,2.10660609171705
simA,0,300000,26.727540027016097,29.43872,2.68470878955949
simA,1,5000,88.61567441628264,29.26464,14.312534616988227
simA,1,10000,68.87352164226196,29.26464,8.957503290493538
simA,1,20000,51.96181380279349,29.26464,7.015899515977479
simA,1,100000,38.15681217466581,29.26464,1.5343225218745749
simA,1,300000,31.572336072371467,29.26464,1.8849534629871445
simA,2,5000,118.45624581609535,29.3152,16.315254269465086
simA,2,10000,104.97573685706271,29.3152,6.660202317413481
simA,2,20000,69.9439283803528,29.3152,3.5998363981931365
simA,2,100000,38.049454176072814,29.3152,1.220372484908516
simA,2,300000,31.058949758066795,29.3152,1.706303344236154
simA,3,5000,102.19982907914019,29.55328,19.259551913885474
simA,3,10000,101.45590910269794,29.55328,15.744769422087408
simA,3,20000,86.9278612380936,29.55328,15.193115469323786
simA,3,100000,68.34279432823291,29.55328,8.565543829388233
simA,3,300000,53.27822058216391,29.55328,3.5425648740878852
simA,4,5000,111.9304645270282,29.44704,15.294824795697464
simA,4,10000,61.007052133812245,29.44704,9.34922032003474
simA,4,20000,31.96300488283853,29.44704,1.1460027543509053
simA,4,100000,26.36125221702913,29.44704,1.4229866623022491
simA,4,300000,21.838859677225738,29.44704,1.5219646853393325
simA,5,5000,148.57835678146606,29.67872,17.071348130168055
simA,5,10000,83.03212201067561,29.67872,17.092040101194222
simA,5,20000,65.86589248165936,29.67872,10.108635802125049
simA,5,100000,51.40448736563114,29.67872,1.678074746690128
simA,5,300000,43.63558045229735,29.67872,2.7035749326278182
simA,6,5000,89.06030612766612,29.25376,15.230027184805321
simA,6,10000,91.76341829386863,29.25376,17.265815367209726
simA,6,20000,79.11978627252238,29.25376,16.007770622846586
simA,6,100000,53.440856765146094,29.25376,3.7269922239300697
simA,6,300000,38.083416935502356,29.25376,3.388391157228381
simA,7,5000,73.43795417525337,29.45664,15.86815967935787
simA,7,10000,74.91845418432831,29.45664,14.388644608166139
simA,7,20000,62.38975085457467,29.45664,14.946248661568575
simA,7,100000,60.76768222465819,29.45664,1.747630088803806
simA,7,300000,53.54058288099844,29.45664,2.5320684280856023
simA,8,5000,76.49730322392132,29.5552,14.232016847439462
simA,8,10000,67.46085455723865,29.5552,4.6350286906738045
simA,8,20000,68.16879740534003,29.5552,1.67954336563759
simA,8,100000,48.72734965805013,29.5552,1.1484144072677778
simA,8,300000,52.858857545645364,29.5552,1.3943874410916943
simA,9,5000,88.51124705681883,29.37792,15.79615840514492
simA,9,10000,75.67627432538228,29.37792,15.67148498539628
simA,9,20000,58.016497523624494,29.37792,13.73552311064154
simA,9,100000,43.83699780961472,29.37792,2.2487590617930224
simA,9,300000,38.005910150537595,29.37792,2.647907702384709
simB,0,5000,2114.716817509979,2979.5739171868504,2049.8741240094514
simB,0,10000,2200.4814785136246,2871.270278424149,2090.4150652660774
simB,0,20000,2345.9991234749377,2789.8546785231733,2141.8198284658056
simB,0,100000,2810.3138127174675,2505.2925492707577,2262.4029802949162
simB,0,300000,3558.0895638953175,2372.931468323985,2305.919623348362
simB,1,5000,3697.8137342931686,2411.6007755045543,2232.9209499596896
simB,1,10000,3954.9779861066936,2416.5020011017073,2124.186584279054
simB,1,20000,4149.727739470042,2384.4975619385264,2080.49078855385
simB,1,100000,3944.997538378947,2309.794445261628,2087.8851051982315
simB,1,300000,5182.677123708834,2271.952387289536,2162.4691638616564
simB,2,5000,2645.6739183523277,2655.326425846976,2703.7969965584516
simB,2,10000,2976.583751120676,2647.584779974031,2807.829071825438
simB,2,20000,2959.8896322150135,2635.7656191010715,2807.7966826245115
simB,2,100000,3019.9986533380247,2601.216141163588,2864.857345949889
simB,2,300000,3190.602852281145,2646.7474369034744,2876.2602348675146
simB,3,5000,2882.2102775065673,1653.4913608258364,1992.709447832192
simB,3,10000,3015.4145506354726,1609.9638802859893,2121.3588021104165
simB,3,20000,3062.5928318642746,1590.0378305938357,2229.564820037851
simB,3,100000,3206.568523486432,1625.5285468048555,2468.8826377865335
simB,3,300000,3343.9840418481367,1866.466647974842,2615.8418063526224
simB,4,5000,3332.41724103928,5226.821773893791,5243.22269018117
simB,4,10000,3052.1499455825324,5221.142085650224,5049.831554722869
simB,4,20000,3119.986379392296,5158.400202901808,5041.391079741771
simB,4,100000,3161.1244547937517,4617.682466623771,5086.421360917689
simB,4,300000,3429.8509479660584,4226.679915124486,5193.136530957327
simB,5,5000,1458.3820325396553,1220.4787286391763,1121.9129513039416
simB,5,10000,1607.1798032425747,1191.9211478016653,1176.4277490588775
simB,5,20000,1788.8916117083206,1170.4799588313892,1241.2589585816486
simB,5,100000,2156.28672241631,1204.6795373660368,1549.8661426133535
simB,5,300000,2389.2110298034036,1304.3954101319177,1657.3845865357728
simB,6,5000,6825.926592966418,2599.52935637815,4621.108886795626
simB,6,10000,7092.709407816156,2663.643373748829,4749.548986156957
simB,6,20000,7281.398520109917,2769.0869633847565,4855.725210623135
simB,6,100000,7356.649117950567,3170.2810768073364,4952.90525580133
simB,6,300000,7618.361505509266,3769.6711396326364,5024.330006942197
simB,7,5000,2314.1749798687797,2058.6027701989224,1877.3380472014037
simB,7,10000,2546.257074449882,2058.1015012917615,1855.760728338808
simB,7,20000,2708.0807119540523,2043.7194343608792,1801.736042013728
simB,7,100000,3514.158825416134,2010.705215996611,1746.1535235431006
simB,7,300000,3653.688069779272,1980.8250397419743,1705.2228008949553
simB,8,5000,2151.217946935531,1601.504831872777,1797.8548391324455
simB,8,10000,2502.3728247588106,1654.2903818731195,1917.1112005474972
simB,8,20000,2909.01776201032,1796.6107778111627,2052.0404643246025
simB,8,100000,3260.267068426755,1952.5167592038715,2066.660216453883
simB,8,300000,3433.5920249405003,2156.40512034925,2104.8224588598155
simB,9,5000,2971.788570424768,2247.339894873942,2095.7472303568
simB,9,10000,3157.6947381806,2336.283284182946,2108.6537191638236
simB,9,20000,3375.705370192098,2239.1746538184443,2071.958683424451
simB,9,100000,3777.1021930109205,2483.1586198204,2040.7043977079916
simB,9,300000,3792.690941283084,2764.2094371415446,2028.5335782397785
simC,0,5000,0.025047583382996126,0.021341959754536673,0.026591541687856584
simC,0,10000,0.025201510721452765,0.029151575123585776,0.023399710464564176
simC,0,20000,0.016622126824678306,0.01496207071532551,0.013435146589484645
simC,0,100000,0.006518127293787079,0.006625610181450561,0.004892786379451273
simC,0,300000,0.004666166183908277,0.005006869825395664,0.0027572599763056485
simC,1,5000,0.03294065297615913,0.04011956160425283,0.03485706924233594
simC,1,10000,0.015554481331024892,0.01564586528700243,0.01355137105938567
simC,1,20000,0.01778374164533546,0.019635120944944177,0.015524303934812163
simC,1,100000,0.006180521030042059,0.005978521914036073,0.004393090314246139
simC,1,300000,0.004409377575494928,0.004276345065392119,0.0022300740279444366
simC,2,5000,0.04236385125600615,0.035893741808830516,0.04329525321583849
simC,2,10000,0.029892823911806633,0.024001156836521445,0.0300230770146332
simC,2,20000,0.023207779288664684,0.022574701748538067,0.022607271129364486
simC,2,100000,0.006168244943726704,0.006082733681246902,0.004457885617015218
simC,2,300000,0.004684842419935805,0.004793534731872951,0.0026904335835262797
simC,3,5000,0.02548730130369405,0.0208832596057653,0.028646370291814178
simC,3,10000,0.02329209402432031,0.024176564155263914,0.020748426773965184
simC,3,20000,0.015690384990557655,0.016145041390831647,0.012659656986452845
simC,3,100000,0.005989953796475031,0.005888039725026397,0.004499371325670922
simC,3,300000,0.004800581855839443,0.0048215446989729425,0.0029940945810682886
simC,4,5000,0.01658112131064086,0.02099496591171314,0.014879372169336215
simC,4,10000,0.01303183789245561,0.016877265369485025,0.010370782611027115
simC,4,20000,0.010265079892419086,0.011627010955611824,0.008360334521138196
simC,4,100000,0.005335254334025372,0.005493230712414209,0.003727339040509094
