simulation,trial,n,T_mse,S_mse,X_mse
simF,0,5000,6.071068018816795,6.076411891330743,5.71350874153528
simF,0,10000,6.027378932149963,6.009967047025935,5.791051226460651
simF,0,20000,5.912125636391561,5.9188178112243515,5.747405460987705
simF,0,100000,5.904022266429302,5.90269079228096,5.819682186209556
simF,0,300000,5.8460896879796955,5.836975347698725,5.803211902870606
simF,1,5000,6.131984037021599,6.101566190937169,5.786476759111257
simF,1,10000,5.939563319094708,5.978631680815211,5.690777174873358
simF,1,20000,5.912236654577435,5.912260796203428,5.7182452106405215
simF,1,100000,5.866532072225262,5.856993593015114,5.787048082452189
simF,1,300000,5.835923570680609,5.838011825994667,5.792315837246096
simF,2,5000,5.999961090220384,5.986421431354036,5.737616577682066
simF,2,10000,5.915088958975049,5.91201865449803,5.676760444206822
simF,2,20000,5.864968559343148,5.858693678857026,5.687945381673906
simF,2,100000,5.814388710191832,5.818275516084707,5.73119522909134
simF,2,300000,5.803034720161423,5.803392260348129,5.762459793351057
simF,3,5000,6.08908749047629,6.12449034063055,5.835111566608937
simF,3,10000,5.881094155594285,5.8455087534156185,5.639128843180822
simF,3,20000,5.824855895611523,5.827188220740718,5.658909238771944
simF,3,100000,5.791128741106465,5.802106497722666,5.710221671545014
simF,3,300000,5.800971576651842,5.808894647849906,5.760156174852342
simF,4,5000,6.100573439527024,6.08318978112631,5.799001759285441
simF,4,10000,5.977886877118871,5.963312472469956,5.69488949814234
simF,4,20000,5.968760720189229,5.962948652932055,5.780204537675028
simF,4,100000,5.88624163842487,5.880952027629648,5.801783853227804
simF,4,300000,5.806001654757023,5.811807944945449,5.762310302228553
simF,5,5000,6.096840765590964,6.035984758774681,5.729182247555467
simF,5,10000,5.980947078862666,5.994951258663321,5.756680900410661
simF,5,20000,5.978482550032081,5.9773996809658465,5.774163506909255
simF,5,100000,5.877534790348351,5.868850841119857,5.789558913720832
simF,5,300000,5.828315692335107,5.830738019205709,5.78387497283482
simF,6,5000,6.1993807353288455,6.210051350941078,5.879576015813448
simF,6,10000,6.066489156743375,6.042099705332415,5.793616829064485
simF,6,20000,5.949201794726285,5.934647361715522,5.762586800561176
simF,6,100000,5.815299829904407,5.808244306893195,5.733585178309165
simF,6,300000,5.790762565563117,5.785877905720198,5.74280421496024
simF,7,5000,6.083329897272863,6.059169499992724,5.819581278469506
simF,7,10000,5.988854242646373,6.018994710094004,5.793363567709972
simF,7,20000,5.959340453615392,5.942301311056184,5.78492578630507
simF,7,100000,5.827156432962601,5.829213350282849,5.748688890568304
simF,7,300000,5.788628736541412,5.790202441087543,5.744050547854363
simF,8,5000,6.070948584588556,6.100041458314719,5.776271721113096
simF,8,10000,6.044144731114862,6.063625832221172,5.788441292466013
simF,8,20000,6.065236558015295,6.041780298412106,5.87437417069147
simF,8,100000,5.93250619081705,5.911296304620573,5.844994464734556
simF,8,300000,5.859379274015982,5.849697860617586,5.816677135179113
simF,9,5000,6.081224418529725,6.0584148546238685,5.80973392622363
simF,9,10000,6.025168081814248,6.003768183441019,5.737405341552619
simF,9,20000,5.987715990865836,5.965287042521185,5.793979083262753
simF,9,100000,5.8018123038455585,5.80625345668099,5.722187523179478
simF,9,300000,5.771890733035063,5.773593226146034,5.727518132252734
