simulation,trial,n,T_mse,S_mse,X_mse
simA,0,5000,63.770364718862346,29.4330189491391,17.95687974955148
simA,0,10000,49.00196523348079,29.438442634075443,18.041344831728857
simA,0,20000,37.5556815179029,29.43764695932565,12.566624788074384
simA,0,100000,30.197409698672256,29.433392902649363,2.3075627241375547
simA,1,5000,89.53843130661195,29.253006031928344,9.147983734944015
simA,1,10000,68.19711117957374,29.258520523150104,6.201687515656486
simA,1,20000,48.199204020608015,29.25821298745785,4.592558372494577
simA,1,100000,34.98488638037012,29.258623563463736,1.5394737936713372
simA,2,5000,111.02014577399902,29.310466548301783,13.119609013575895
simA,2,10000,77.26036803903537,29.304758594045662,4.701497048519639
simA,2,20000,59.26347241301194,29.311167189882855,1.465822515523323
simA,2,100000,37.831103960384134,29.309268479134744,1.35358832016692
simA,3,5000,114.43888742488845,29.550918028552513,17.838256026740297
simA,3,10000,94.26294252433799,29.552827845121143,13.611369128773378
simA,3,20000,86.13264737071408,29.55126908890163,13.361279589175675
simA,3,100000,63.09980869575997,29.54955155403439,4.3141354080194505
simA,4,5000,56.62927402651283,29.44338682759153,9.490083450878851
simA,4,10000,39.12588014037471,29.444139606198124,3.8673534422864386
simA,4,20000,32.46769990394766,29.445669675409754,1.2448472954493146
simA,4,100000,27.28645981056067,29.441493625208352,1.5713456548649416
simA,5,5000,99.64668914417855,29.676790552129958,15.026898491843458
simA,5,10000,77.24866675813796,29.674715727574238,15.082591273581526
simA,5,20000,61.60592703005605,29.674092454412857,5.271440294806044
simA,5,100000,56.588445846392034,29.673980689835762,1.6182111217576152
simA,6,5000,89.57131991367665,29.249906639390023,15.576180440996774
simA,6,10000,83.5689676636539,29.24886584995023,17.216938466880723
simA,6,20000,63.222628714046415,29.24893568843192,11.46455767412897
simA,6,100000,47.22618765194725,29.247290852295016,3.2061294347219205
simA,7,5000,81.97022225891938,29.452770216878438,14.758015591001875
simA,7,10000,87.43547087629506,29.451733498985018,13.620659850235702
simA,7,20000,62.45683523342632,29.453155760970045,14.42673837614452
simA,7,100000,59.15082418275855,29.45287808023151,2.4052165719671965
simA,8,5000,74.77615035153997,29.552123896017758,9.917366056745859
simA,8,10000,75.78286909768663,29.5502851021442,3.2060919614812406
simA,8,20000,61.05654218216197,29.545843800481027,1.64466666451266
simA,8,100000,54.77486792513589,29.54726060372314,1.1464979668091535
simA,9,5000,71.9894709893326,29.36991539882972,15.987754090129966
simA,9,10000,56.813179627038025,29.370021601110206,14.326787445058022
simA,9,20000,48.90054396578097,29.374794391418295,12.030585125747805
simA,9,100000,41.120929238862175,29.37167571029177,2.2491118738787126
simB,0,5000,2371.5600121186803,2902.888563240035,2086.315739375552
simB,0,10000,2481.7682138866676,2785.108895733776,2130.850196464799
simB,0,20000,2612.631993202486,2639.752599816123,2189.342632494874
simB,0,100000,3162.335247948269,2412.7000755051245,2329.7570559976575
simB,1,5000,4281.137814373913,2406.897656544749,2160.5169719701375
simB,1,10000,4383.034306999176,2390.6189523957273,2109.9760668980275
simB,1,20000,4425.474030100796,2364.402736264536,2061.8711319869567
simB,1,100000,4635.971721778376,2277.2694460094276,2097.666230636911
simB,2,5000,2816.514468015026,2645.3540980124985,2818.016250442823
simB,2,10000,3032.3384481633598,2634.3153046954103,2817.717817647146
simB,2,20000,3042.23442746504,2615.36102856573,2843.560012623658
simB,2,100000,3120.5761502297028,2621.310638088097,2907.1662423985363
simB,3,5000,3335.1856404621335,1631.4355777211138,1924.0622124884155
simB,3,10000,3321.772094815312,1598.7484557980463,2091.7683291369294
simB,3,20000,3270.9024865953265,1560.6041289912146,2221.684348805912
simB,3,100000,3369.123455997969,1758.5192581632054,2438.1297254942933
simB,4,5000,3356.2380114951097,5094.837517474588,5347.317643882115
simB,4,10000,3074.6447619635087,5037.0028968723245,5149.702554214732
simB,4,20000,3196.072753001656,4950.80172239507,5045.355542127296
