simulation,trial,n,T_mse,S_mse,X_mse
simA,0,5000,51.90917640783092,29.43872,16.809251526633513
simA,0,10000,52.67658609260657,29.43872,19.06184476549592
simA,0,20000,43.87197505761589,29.43872,14.569329579751571
simA,0,100000,33.27565206524198,29.43872,2.1252848274493314
simA,0,300000,26.727540027016094,29.43872,2.587131065249001
simA,1,5000,88.61567441628264,29.26464,14.518722439739257
simA,1,10000,68.87352164226196,29.26464,9.1797851422011
simA,1,20000,51.96181380279351,29.26464,7.242811013511506
simA,1,100000,38.15681217466583,29.26464,1.5953300351611541
simA,1,300000,31.572336072371478,29.26464,1.838377050178962
simA,2,5000,118.45624581609532,29.3152,16.451782020550198
simA,2,10000,104.97573685706271,29.3152,6.943180326793545
simA,2,20000,69.94392838035283,29.3152,3.7043831716326774
simA,2,100000,38.04945417607282,29.3152,1.1591091244206841
simA,2,300000,31.0589497580668,29.3152,1.5621743875431198
simA,3,5000,102.19982907914019,29.55328,19.344637767922087
simA,3,10000,101.45590910269794,29.55328,16.0688436933915
simA,3,20000,86.92786123809361,29.55328,15.516505327648241
simA,3,100000,68.3427943282329,29.55328,8.698528001114157
simA,3,300000,53.278220582163904,29.55328,3.670192440888652
simA,4,5000,111.93046452702816,29.44704,15.118999601220807
simA,4,10000,61.00705213381223,29.44704,9.299447408412385
simA,4,20000,31.963004882838536,29.44704,1.2193553975530005
simA,4,100000,26.36125221702913,29.44704,1.2740061188530643
simA,4,300000,21.838859677225734,29.44704,1.3037246964364408
simA,5,5000,148.57835678146606,29.67872,17.464321395722262
simA,5,10000,83.03212201067564,29.67872,17.323213911701924
simA,5,20000,65.86589248165936,29.67872,10.347715904946375
simA,5,100000,51.40448736563114,29.67872,1.768988547824238
simA,5,300000,43.63558045229734,29.67872,2.599564558548943
simA,6,5000,89.06030612766612,29.25376,15.258455719002225
simA,6,10000,91.76341829386863,29.25376,17.144283033265317
simA,6,20000,79.11978627252238,29.25376,15.995243575596339
simA,6,100000,53.44085676514611,29.25376,3.703858588728415
simA,6,300000,38.08341693550236,29.25376,3.2971926668422364
simA,7,5000,73.43795417525337,29.45664,15.961148881289422
simA,7,10000,74.91845418432833,29.45664,14.52818234139077
simA,7,20000,62.389750854574686,29.45664,15.112931025013534
simA,7,100000,60.76768222465819,29.45664,1.8685116818832292
simA,7,300000,53.54058288099842,29.45664,2.610581706668962
simA,8,5000,76.4973032239213,29.5552,14.105237390855597
simA,8,10000,67.46085455723865,29.5552,4.6875399760641345
simA,8,20000,68.16879740534004,29.5552,1.7133460698884013
simA,8,100000,48.72734965805013,29.5552,1.1398195941400897
simA,8,300000,52.85885754564538,29.5552,1.2720511689399228
simA,9,5000,88.5112470568188,29.37792,15.974784594295642
simA,9,10000,75.6762743253823,29.37792,15.767536526942298
simA,9,20000,58.01649752362448,29.37792,13.749494673707426
simA,9,100000,43.836997809614736,29.37792,2.2864633432998
simA,9,300000,38.005910150537595,29.37792,2.5005264025997356
simB,0,5000,2114.716817509979,2979.573917186851,2048.1492122969184
simB,0,10000,2200.4814785136246,2871.2702784241496,2094.099853107346
simB,0,20000,2345.9991234749377,2789.854678523173,2147.820147502496
simB,0,100000,2810.313812717467,2505.292549270757,2267.914428577289
simB,0,300000,3558.0895638953166,2372.9314683239845,2308.354501040243
simB,1,5000,3697.8137342931677,2411.6007755045543,2236.981344720814
simB,1,10000,3954.9779861066936,2416.5020011017077,2139.9998904812805
simB,1,20000,4149.727739470041,2384.497561938527,2086.1268275472657
simB,1,100000,3944.997538378946,2309.794445261628,2105.0091816271847
simB,1,300000,5182.677123708834,2271.952387289536,2169.909154728556
simB,2,5000,2645.673918352328,2655.3264258469762,2694.8696145811086
simB,2,10000,2976.5837511206764,2647.584779974031,2800.893845866988
simB,2,20000,2959.8896322150135,2635.7656191010715,2808.6675213187527
simB,2,100000,3019.9986533380247,2601.216141163588,2866.193401970958
simB,2,300000,3190.602852281146,2646.747436903474,2882.7569023841857
