simulation,trial,n,T_mse,S_mse,X_mse
simF,0,5000,6.071068018816795,6.076411891330743,5.73442132510697
simF,0,10000,6.027378932149963,6.009967047025935,5.8045388913237765
simF,0,20000,5.912125636391561,5.9188178112243515,5.757521983657903
simF,0,100000,5.904022266429303,5.90269079228096,5.823405207571861
simF,0,300000,5.8460896879796955,5.836975347698725,5.804743514505851
simF,1,5000,6.131984037021599,6.101566190937169,5.802972629653582
simF,1,10000,5.939563319094708,5.978631680815211,5.7028393762183915
simF,1,20000,5.912236654577435,5.912260796203428,5.727996808633423
simF,1,100000,5.866532072225262,5.856993593015114,5.790582002893741
simF,1,300000,5.835923570680609,5.838011825994667,5.793622756164417
simF,2,5000,5.999961090220384,5.986421431354038,5.754933215285208
simF,2,10000,5.915088958975049,5.91201865449803,5.69077366877503
simF,2,20000,5.864968559343148,5.858693678857026,5.696966824988009
simF,2,100000,5.814388710191832,5.818275516084707,5.734428302811425
simF,2,300000,5.803034720161424,5.803392260348129,5.763760957324717
simF,3,5000,6.08908749047629,6.12449034063055,5.8541345251289965
simF,3,10000,5.881094155594286,5.8455087534156185,5.65365583931504
simF,3,20000,5.824855895611523,5.827188220740718,5.668385369419583
simF,3,100000,5.791128741106465,5.802106497722666,5.7133482419546215
simF,3,300000,5.800971576651842,5.808894647849906,5.7616936919651875
simF,4,5000,6.100573439527024,6.08318978112631,5.818341213159226
simF,4,10000,5.97788687711887,5.963312472469956,5.7113135024296495
simF,4,20000,5.968760720189229,5.962948652932055,5.79026633824488
simF,4,100000,5.88624163842487,5.880952027629648,5.80468183647894
simF,4,300000,5.806001654757024,5.811807944945449,5.7637614034419045
simF,5,5000,6.096840765590964,6.035984758774681,5.751448396162537
simF,5,10000,5.980947078862666,5.994951258663321,5.768752151557435
simF,5,20000,5.978482550032081,5.9773996809658465,5.784647924988749
simF,5,100000,5.877534790348351,5.868850841119857,5.793202600601236
simF,5,300000,5.828315692335107,5.830738019205709,5.785144120129617
simF,6,5000,6.1993807353288455,6.210051350941078,5.902607912001169
simF,6,10000,6.066489156743376,6.042099705332415,5.813349522049166
simF,6,20000,5.949201794726286,5.934647361715522,5.773908772823395
simF,6,100000,5.815299829904407,5.808244306893195,5.7368454518793115
simF,6,300000,5.790762565563117,5.785877905720198,5.744459099509141
simF,7,5000,6.083329897272865,6.059169499992724,5.833624920451145
simF,7,10000,5.988854242646373,6.018994710094004,5.803745863469135
simF,7,20000,5.959340453615392,5.942301311056184,5.792838939598724
simF,7,100000,5.827156432962601,5.82921335028285,5.752515480266272
simF,7,300000,5.788628736541412,5.790202441087543,5.745714644650122
simF,8,5000,6.070948584588556,6.100041458314719,5.792915818578873
simF,8,10000,6.044144731114862,6.063625832221172,5.806469984350315
simF,8,20000,6.065236558015295,6.041780298412106,5.884374166981782
simF,8,100000,5.93250619081705,5.911296304620573,5.848566672107043
simF,8,300000,5.859379274015982,5.849697860617586,5.818216978536476
simF,9,5000,6.081224418529725,6.0584148546238685,5.828580124951626
simF,9,10000,6.025168081814246,6.003768183441019,5.751856704463097
simF,9,20000,5.987715990865836,5.965287042521185,5.803734862433577
simF,9,100000,5.8018123038455585,5.80625345668099,5.724925849024316
simF,9,300000,5.771890733035063,5.773593226146034,5.7290236626188875
