simulation,trial,n,T_mse,S_mse,X_mse
simA,0,5000,74.19619461620123,29.498807851325342,21.003786959027796
simA,0,10000,79.9955689513611,29.43872,20.182759819456813
simA,0,20000,79.11205225982044,29.440304775671567,18.45105709506084
simA,0,100000,90.00954940561803,29.42402543755738,14.70151652020701
simA,0,300000,64.77257353565983,29.436244465327192,9.163530718150367
simA,1,5000,96.96654702494357,29.26464,18.328802649929074
simA,1,10000,96.29100833436428,29.26464,15.689897152150031
simA,1,20000,102.43173202790102,29.26464,17.469495809244748
simA,1,100000,106.9049728169973,29.265022662077335,11.728921256871924
simA,1,300000,63.846049352670406,29.259961991282218,9.777661080401286
simA,2,5000,151.2813139410459,29.3152,20.326745240181932
simA,2,10000,149.33310840153806,29.312447461225972,10.752777094178349
simA,2,20000,154.86355145143892,29.31469036718679,7.9945440246179045
simA,2,100000,161.36400624923428,29.30808471384449,11.833709457299165
simA,2,300000,82.52686271037169,29.311387808736875,12.541471600994985
simA,3,5000,118.32966716041325,29.55328,18.071498241285905
simA,3,10000,129.81662324180925,29.5541454650563,16.61217548161161
simA,3,20000,139.09707842377023,29.55328,15.781353828315908
simA,3,100000,157.94501154747445,29.5493062944054,17.944784368442548
simA,3,300000,109.95825721548808,29.549623283859134,19.15563945425309
simA,4,5000,129.69894344268843,29.44704,21.713068205817738
simA,4,10000,130.27061522806616,29.44704,32.46225599951995
simA,4,20000,131.61625071753565,29.444379313792453,53.31452258659818
simA,4,100000,136.16901227323225,29.433200192525923,39.453163198829884
simA,4,300000,70.50517266412167,29.439809584204944,36.78890166566233
simA,5,5000,174.31694750217383,29.67872,24.260657214982714
simA,5,10000,167.83503827444048,29.672198470545496,19.314321540446592
simA,5,20000,172.81952340802644,29.651183035201434,21.47098228225422
simA,5,100000,177.99379155251412,29.67232120460381,17.755509604684917
simA,5,300000,99.17909790609622,29.67792793839964,23.913635871784038
simA,6,5000,144.3050173957617,29.25376,16.374102013873422
simA,6,10000,159.65276433123813,29.263885313302968,22.389226762640448
simA,6,20000,174.98888270936501,29.25376,21.307948335531176
simA,6,100000,202.92038041469374,29.241653969864956,30.836471866259142
simA,6,300000,122.71915027439003,29.247730496528057,30.25384994387586
simA,7,5000,91.84312538283916,29.466548372509354,16.314757502764845
simA,7,10000,106.81416448122097,29.45664,19.197890712345277
simA,7,20000,119.72116371777665,29.455918304618212,26.524605023215635
simA,7,100000,140.9866196472528,29.45412933957095,36.34650206937038
simA,7,300000,104.37763420544144,29.451498413067757,33.48186914685412
simA,8,5000,85.27481929917325,29.5552,20.183401074254665
simA,8,10000,96.33961846510132,29.574300291997865,13.569707856637402
simA,8,20000,106.8820224673023,29.552132472504823,6.507008711940996
simA,8,100000,128.91697637743005,29.550695061511895,9.144282034672539
simA,8,300000,93.00685149064645,29.547346804300556,13.63993364257853
simA,9,5000,104.41515550207684,29.396175134425224,17.08910228588375
simA,9,10000,105.83724696565281,29.342519264308958,15.966922462246304
simA,9,20000,111.79484669076096,29.36289593296346,17.829122112452676
simA,9,100000,120.00717668508015,29.36869737512263,11.024855285443184
simA,9,300000,83.03619630481816,29.355978033108357,10.098430228652989
simB,0,5000,3343.638417461265,2880.1419573290586,2146.735826042205
simB,0,10000,2663.1226603844284,2760.5429000584268,2176.548068773839
simB,0,20000,2624.9773726967896,2615.897666185029,2197.5202695849403
simB,0,100000,2494.4186332477952,2297.3841828700806,2345.5090168466772
simB,0,300000,2760.832200359954,2233.8707461130575,2438.902434255253
simB,1,5000,3726.5553363932304,2409.0287492003317,2142.65903964503
simB,1,10000,3765.7721938029267,2396.89996228069,2025.6108547282606
simB,1,20000,3563.855430544437,2369.4994224771012,1975.166767711596
simB,1,100000,3457.6495112238476,2283.907689630055,2017.5055622858818
simB,1,300000,3664.517453121226,2246.7642516010455,2067.670128913311
simB,2,5000,3029.585645835926,2653.1296368102335,2623.448820735336
simB,2,10000,2939.0808513738225,2644.0430213118957,2758.393102276954
simB,2,20000,2802.8180521720737,2618.8329586777663,2770.4917812266976
simB,2,100000,2965.8015499470876,2578.0073391594524,2960.82254095541
