simulation,n,T_mse,S_mse,X_mse
simA,5000,31.80642586736031,16.408792872924906,32.085974376232485
simA,10000,14.497201911024453,16.144080926026266,14.390203358247556
simA,20000,9.383500351393586,16.030040498533054,9.370743505028603
simA,100000,6.414835939049182,15.915242042164994,6.413186938495758
simA,300000,6.020301343086137,15.90279671039836,6.020276546227032
simB,5000,4058.717652699475,2537.2291090484505,4058.823833534105
simB,10000,4054.065820626328,2536.994868382384,4054.0946064220648
simB,20000,4051.710635691795,2536.6478531469206,4051.7330186054387
simB,100000,4053.0650735668532,2536.5124225563964,4053.061837717277
simB,300000,4052.860808397534,2536.48626810648,4052.858866895231
simC,5000,0.8445480761274261,1.181048555979371,0.8463628672520389
simC,10000,0.8147645713609777,1.1820396275497198,0.815307679687216
simC,20000,0.7937029481376121,1.1828512572095016,0.7937769173659236
simC,100000,0.7785094501365145,1.1823294265891304,0.7785280874350173
simC,300000,0.7759802912818863,1.1818696481669242,0.7759818436438255
simD,5000,0.02050020910429776,0.0008817250330032013,0.022593331082403644
simD,10000,0.00909863537552984,0.0003356439845504147,0.010389203222041723
simD,20000,0.004477738940582875,0.00015564499725240598,0.005060392891940273
simD,100000,0.0008865542799673618,1.541934922583863e-05,0.0010000495890681018
simD,300000,0.00030591381159415505,1.666444053565938e-05,0.00033868119492506575
simE,5000,4.257242356763542,5.767771961755012,4.262066615546825
simE,10000,4.232428337450034,5.765372111753345,4.235141981221838
simE,20000,4.2185906368076385,5.763942425517319,4.220041940403331
simE,100000,4.210346485526868,5.763737499604122,4.210695965507493
simE,300000,4.2085520535791385,5.763732209665375,4.208617930031817
simF,5000,5.85914073942866,7.353452163700925,5.856117665119461
simF,10000,5.810422626643373,7.3387677134972025,5.80782063620062
simF,20000,5.80337743709237,7.347836811645908,5.8001016159821805
simF,100000,5.792333878425636,7.347592331658795,5.790829640053395
simF,300000,5.802180673498922,7.350628680098221,5.802571996010732
