simulation,n,T_mse,S_mse,X_mse
simA,5000,26.672375853324958,16.4087928729248,26.525676702706924
simA,10000,13.907255098958368,16.144080926026255,14.277166732054155
simA,20000,9.350430601158203,16.030040498533005,9.370773429892674
simA,100000,6.442467629914506,15.915242042164996,6.4703825241875155
simA,300000,6.017039255382357,15.902796710398357,6.052478672362653
simB,5000,4058.2349694373065,2537.22910904845,4057.6532617393414
simB,10000,4054.0014031318037,2536.994868382384,4053.9861947946833
simB,20000,4051.61267862106,2536.647853146921,4051.4955840164157
simB,100000,4053.088059750508,2536.512422556397,4053.123919821177
simB,300000,4052.8769693937234,2536.48626810648,4052.9045958340967
simC,5000,0.8420026389819638,1.181048555979371,0.8447045827593141
simC,10000,0.814113578655612,1.1820396275497198,0.8153423794019201
simC,20000,0.7942421725046553,1.1828512572095016,0.7958740588984753
simC,100000,0.778439019717434,1.1823294265891304,0.7784200413229746
simC,300000,0.7759538030118732,1.181869648166924,0.77591624252026
simD,5000,0.019449514248112358,0.000881725033003201,0.020808845535275906
simD,10000,0.008169189853343521,0.00033564398455041445,0.008948455836465186
simD,20000,0.004141302733809939,0.00015564499725240674,0.004385392354953778
simD,100000,0.0007916100593975816,1.5419349225839032e-05,0.0008682745058804888
simD,300000,0.0002876591829271129,1.6664440535657553e-05,0.0003213761544463281
simE,5000,4.253986488831474,5.767771961755012,4.257832889398088
simE,10000,4.230954386348538,5.765372111753349,4.23169597518997
simE,20000,4.217436175240677,5.763942425517317,4.217674581797278
simE,100000,4.210094081232006,5.763737499604056,4.2105314629179995
simE,300000,4.208533562061888,5.763732209665375,4.208795525136081
simF,5000,10.13101751645409,11.415614033356288,10.13507830973239
simF,10000,10.049870589305147,11.3712921601611,10.045395987435592
simF,20000,10.04653853887475,11.393779507820302,10.043474233214507
simF,100000,10.005322239553653,11.356325950722711,10.001539721606054
simF,300000,9.983411249867467,11.342647486429067,9.979358605570336
