simulation,n,T_mse,S_mse,X_mse
simA,5000,94.91965576115031,29.434112000000006,16.014948685298595
simA,10000,78.18399291999349,29.434112000000006,12.872813564100202
simA,20000,61.82293078994153,29.434112000000006,9.796419079483503
simA,100000,46.236333878434294,29.434112000000006,2.539970211867543
simA,300000,39.06002540818251,29.434112000000006,2.400682481762821
simB,5000,3039.4322111436477,2465.4269835220975,2573.6486163331165
simB,10000,3210.582156040702,2467.0702714334425,2600.112346146982
simB,20000,3370.1289682391266,2457.762768126505,2632.3782558391354
simB,100000,3620.746690993531,2448.0855358318854,2712.6738966266917
simB,300000,3959.274810101502,2536.028400261365,2767.392079086
simC,5000,0.03115928111223757,0.03048451100089867,0.0345733168159198
simC,10000,0.021920537271911792,0.021569081126354445,0.02140607877330949
simC,20000,0.017677187340068037,0.017628961832355742,0.014852550445369378
simC,100000,0.006408753342916162,0.006382179882881653,0.004767069113624834
simC,300000,0.004852760912485935,0.004872457578008851,0.002830856192036225
simD,5000,0.01681331272508774,0.00010282620548031761,0.003154420455945585
simD,10000,0.011061325030963918,0.00010510314195157631,0.001995783184812785
simD,20000,0.007926140661495332,9.963218182104938e-05,0.0012888130435145559
simD,100000,0.0047651050939055885,0.00011581229038125337,0.0009089768743213784
simD,300000,0.003890494915445386,0.00012736669407748184,0.0008336036439214503
simE,5000,0.0462781844514093,0.044174014622087546,0.02721523635528834
simE,10000,0.025182146275442973,0.023976250746690447,0.013427183227576278
simE,20000,0.015387089286414852,0.014984814452336856,0.006136232453685382
simE,100000,0.006912823090397341,0.006598459882702944,0.00260860342515822
simE,300000,0.004308936267775953,0.004301801821908786,0.001080388233437401
simF,5000,1.676858477802821,1.6736366401417087,1.6643593383169322
simF,10000,1.6405948360962224,1.636718975387737,1.6197535947985866
simF,20000,1.625013538458243,1.6246105948242568,1.6070714124442085
simF,100000,1.5926388307486932,1.594902012476328,1.5900269490217425
simF,300000,1.5961972382913472,1.5976551996734167,1.5912510337892514
