simulation,n,T_mse,S_mse,X_mse
simA,5000,85.33509559085219,29.42923030887592,13.881902664640847
simA,10000,70.86974211396142,29.429431098235433,10.9876320964202
simA,20000,56.086118235165635,29.430078799669182,7.806912069605727
simA,100000,45.2260923390843,29.428541606086775,2.17112728699948
simB,5000,3326.9303397519916,2452.5116718296135,2581.820209847546
simB,10000,3479.1266236981946,2453.7306800698857,2597.5190243301313
simB,20000,3603.759590478325,2451.095636335687,2623.2538352349875
simB,100000,3867.381474362091,2481.2403917005367,2725.7345306682464
simC,5000,0.025925780274855415,0.025684518632406762,0.02967313891036885
simC,10000,0.01717843556793112,0.017144063056630597,0.017757617244206225
simC,20000,0.011953918332267497,0.01186608969185218,0.01228715704328862
simC,100000,0.003927361943307018,0.003888818459907043,0.003750949168497103
simD,5000,0.017658618676825034,0.0001015010222113298,0.0024428420016973955
simD,10000,0.010989328224924988,9.030239199211818e-05,0.0013365210119976978
simD,20000,0.007226147045821263,8.71318803755102e-05,0.0007319239048811093
simD,100000,0.0032415811252404668,0.00012350131826972176,0.0002615498495302632
simE,5000,0.03633545771405638,0.03659514820621933,0.023935887387989185
simE,10000,0.01934288270767538,0.018870241365863804,0.00970059034666949
simE,20000,0.012581516627501127,0.012155744888089761,0.004427024052394635
simE,100000,0.0047102730521217375,0.0045544316418212666,0.0012835753562732495
simF,5000,6.051160147135046,6.046643329354291,5.79936886911386
simF,10000,5.939714608367367,5.939132742282514,5.752775301108195
simF,20000,5.9022672789460096,5.90221016676392,5.769306284232904
simF,100000,5.8267044497163925,5.827403900344649,5.770941557213533
