simulation,n,T_mse,S_mse,X_mse
simA,5000,94.91965576115028,29.434112000000006,16.1007341337231
simA,10000,78.18399291999351,29.434112000000006,13.00038571256589
simA,20000,61.82293078994154,29.434112000000006,9.91711157392491
simA,100000,46.236333878434294,29.434112000000006,2.5619899862874167
simA,300000,39.06002540818251,29.434112000000006,2.3241516143895975
simB,5000,3039.4322111436472,2465.4269835220975,2572.751885313082
simB,10000,3210.582156040702,2467.0702714334425,2603.046242281211
simB,20000,3370.1289682391275,2457.762768126505,2636.628384055978
simB,100000,3620.7466909935306,2448.085535831885,2717.9677849611157
simB,300000,3959.274810101502,2536.028400261364,2772.546405509639
simC,5000,0.03115928111223758,0.030484511000898672,0.03459414612377922
simC,10000,0.02192053727191179,0.021569081126354438,0.021429452138067368
simC,20000,0.017677187340068037,0.017628961832355742,0.014870583849989485
simC,100000,0.006408753342916162,0.006382179882881653,0.004777415071311807
simC,300000,0.004852760912485935,0.004872457578008852,0.0028399320215073886
simD,5000,0.01681331272508774,0.00010282620548031766,0.0030743321386798063
simD,10000,0.01106132503096392,0.00010510314195157635,0.0019039741559883192
simD,20000,0.007926140661495332,9.963218182104932e-05,0.0012944680748494968
simD,100000,0.0047651050939055885,0.00011581229038125337,0.0009291834408919966
simD,300000,0.003890494915445386,0.00012736669407748184,0.0008692118010359418
simE,5000,0.046278184451409285,0.044174014622087546,0.027188801931843316
simE,10000,0.02518214627544298,0.023976250746690436,0.01336180339124619
simE,20000,0.015387089286414857,0.014984814452336856,0.006215376511750167
simE,100000,0.006912823090397343,0.006598459882702945,0.0026036784110992387
simE,300000,0.004308936267775952,0.004301801821908784,0.0011096057103706415
simF,5000,6.092439847737305,6.083574155802589,5.807398008047935
simF,10000,5.984661553411439,5.983287829797668,5.750729550395103
simF,20000,5.942292481336779,5.9341324854628414,5.768064199177003
simF,100000,5.8516622976255706,5.848487668633055,5.772250164558876
simF,300000,5.813099821172128,5.812919147961395,5.771014082884632
