simulation,n,T_mse,S_mse,X_mse
simA,5000,117.06277312673174,29.442937135825993,19.366592138800183
simA,10000,122.21857566747926,29.43265362664376,18.613793488123278
simA,20000,129.33271038736976,29.429318420193873,20.665063980923225
simA,100000,142.32174969695274,29.426713625108476,20.07697156620807
simA,300000,89.3927845659704,29.42775088188147,19.88149233532076
simB,5000,3606.1173868241776,2430.304759174116,2589.7336396262644
simB,10000,3334.1075400217533,2397.9914568588547,2615.4507203047365
simB,20000,3273.0599273071416,2382.8504149154232,2631.4610440275414
simB,100000,3240.839969687939,2367.7700974095274,2760.9064933661452
simB,300000,3375.0305664595608,2446.8813679319355,2820.5847072451343
simC,5000,0.8433146650766871,1.2692312834242716,0.648270415156651
simC,10000,0.7842861328042023,1.2377599383307825,0.5427252542421505
simC,20000,0.7389724362074042,1.208465500122776,0.4794951992502973
simC,100000,0.6203841555352496,1.1202278114382584,0.35045143848390314
simC,300000,0.5528386390196733,1.0469896843609632,0.2926603360179845
simD,5000,0.2864699635814359,0.010850420595738186,0.02527388963405396
simD,10000,0.25514572094394217,0.010375790407104908,0.0255076958583626
simD,20000,0.23987037733070166,0.0112110727581806,0.02385007118903853
simD,100000,0.14136509461041596,0.011683527705205114,0.02142118100360826
simD,300000,0.10842983081553233,0.013073481327633741,0.018723870751253573
simE,5000,6.030410938896511,41.43279973474552,3.4724015253853695
simE,10000,5.393468483434196,36.9219815602557,3.080164112870008
simE,20000,4.1009518272070515,33.61125073784608,2.571801094094236
simE,100000,0.3630594626607801,24.824823067170183,1.7866888126624603
simE,300000,0.07311219684317244,19.418086997447734,1.3869238277708342
simF,5000,11.87264720955162,41.855806387240015,9.189093640398578
simF,10000,11.238126506129905,36.40739330096054,8.580587622056138
simF,20000,10.0610144546807,32.713606852279604,8.1774047611489
simF,100000,6.219446292766813,23.46594017091631,7.360180759584918
simF,300000,5.946240601479314,18.437189215991662,6.987510724675542
